Project Name,Street Name,Property Type,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Type of Area,Area (SQM),Unit Price ($ PSM),Tenure,Postal District,Floor Level
CHINATOWN POINT,NEW BRIDGE ROAD,Office,"4,450,000","2,486.48","1,790",Feb-22,Strata,231,"19,264",99 yrs lease commencing from 1980,01,21 to 25
SLF BUILDING,THOMSON ROAD,Office,"1,385,000","1,539.25",900,Jan-22,Strata,143,"9,685",99 yrs lease commencing from 1979,11,06 to 10
THE CENTRAL,EU TONG SEN STREET,Office,"2,280,000",925.7,"2,463",Jan-22,Strata,86,"26,512",99 yrs lease commencing from 2001,01,16 to 20
THE ADELPHI,COLEMAN STREET,Office,"3,900,000","1,442.38","2,704",Jan-22,Strata,134,"29,104",999 yrs lease commencing from 1828,06,06 to 10
SHENTON HOUSE,SHENTON WAY,Office,"2,280,000","1,140.98","1,998",Jan-22,Strata,106,"21,509",99 yrs lease commencing from 1969,01,01 to 05
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,"1,088,888",505.91,"2,152",Jan-22,Strata,47,"23,168",99 yrs lease commencing from 2011,14,11 to 15
THE CENTRAL,EU TONG SEN STREET,Office,"1,860,000",742.72,"2,504",Jan-22,Strata,69,"26,957",99 yrs lease commencing from 2001,01,06 to 10
PS100,PECK SEAH STREET,Office,"1,320,000",516.67,"2,555",Jan-22,Strata,48,"27,500",99 yrs lease commencing from 2011,02,06 to 10
CROSS STREET EXCHANGE,CROSS STREET,Office,"810,800,000","150,761.66","5,378",Jan-22,Land,"14,006.1","57,889",99 yrs lease commencing from 1997,01,-
EASTGATE,EAST COAST ROAD,Office,"1,750,000","1,162.51","1,505",Jan-22,Strata,108,"16,204",Freehold,15,06 to 10
THE PLAZA,BEACH ROAD,Office,"388,000",290.63,"1,335",Jan-22,Strata,27,"14,370",99 yrs lease commencing from 1968,07,01 to 05
PRUDENTIAL TOWER,CECIL STREET,Office,"11,580,000","3,552.12","3,260",Jan-22,Strata,330,"35,091",99 yrs lease commencing from 1996,01,21 to 25
THE PLAZA,BEACH ROAD,Office,"459,000",301.39,"1,523",Jan-22,Strata,28,"16,393",99 yrs lease commencing from 1968,07,01 to 05
THE PLAZA,BEACH ROAD,Office,"459,000",301.39,"1,523",Jan-22,Strata,28,"16,393",99 yrs lease commencing from 1968,07,01 to 05
SUNSHINE PLAZA,BENCOOLEN STREET,Office,"1,285,000",958,"1,341",Jan-22,Strata,89,"14,438",99 yrs lease commencing from 1997,07,11 to 15
PIL BUILDING,CECIL STREET,Office,"323,800,000","19,535.58","16,575",Jan-22,Land,"1,814.9","178,412",99 yrs lease commencing from 1977,01,-
BURLINGTON SQUARE,BENCOOLEN STREET,Office,"938,000",548.96,"1,709",Jan-22,Strata,51,"18,392",99 yrs lease commencing from 1996,07,11 to 15
TEXTILE CENTRE,JALAN SULTAN,Office,"1,120,000",990.29,"1,131",Jan-22,Strata,92,"12,174",99 yrs lease commencing from 1970,07,01 to 05
SAMSUNG HUB,CHURCH STREET,Office,"16,100,000","3,875.04","4,155",Jan-22,Strata,360,"44,722",999 yrs lease commencing from 1827,01,11 to 15
EON SHENTON,SHENTON WAY,Office,"4,311,608","1,700.71","2,535",Jan-22,Strata,158,"27,289",99 yrs lease commencing from 2011,02,16 to 20
HIGH STREET CENTRE,NORTH BRIDGE ROAD,Office,"600,000",376.74,"1,593",Jan-22,Strata,35,"17,143",99 yrs lease commencing from 1969,06,01 to 05
SHENTON HOUSE,SHENTON WAY,Office,"2,373,000","1,356.26","1,750",Jan-22,Strata,126,"18,833",99 yrs lease commencing from 1969,01,11 to 15
GRANDLINK SQUARE,GUILLEMARD ROAD,Office,"580,000",204.52,"2,836",Jan-22,Strata,19,"30,526",Freehold,14,01 to 05
OXLEY TOWER,ROBINSON ROAD,Office,"3,700,000","1,162.51","3,183",Jan-22,Strata,108,"34,259",Freehold,01,16 to 20
SHENTON HOUSE,SHENTON WAY,Office,"2,435,000","1,356.26","1,795",Jan-22,Strata,126,"19,325",99 yrs lease commencing from 1969,01,06 to 10
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,"933,000",484.38,"1,926",Jan-22,Strata,45,"20,733",99 yrs lease commencing from 2011,14,01 to 05
SIM LIM TOWER,JALAN BESAR,Office,"870,003",419.8,"2,072",Jan-22,Strata,39,"22,308",Freehold,08,06 to 10
THE PLAZA,BEACH ROAD,Office,"1,680,000","1,194.8","1,406",Jan-22,Strata,111,"15,135",99 yrs lease commencing from 1968,07,06 to 10
SBF CENTER,ROBINSON ROAD,Office,"2,447,250",753.48,"3,248",Dec-21,Strata,70,"34,961",99 yrs lease commencing from 2011,01,21 to 25
SHENTON HOUSE,SHENTON WAY,Office,"2,700,000","1,506.96","1,792",Dec-21,Strata,140,"19,286",99 yrs lease commencing from 1969,01,21 to 25
THE CENTRAL,EU TONG SEN STREET,Office,"1,630,000",645.84,"2,524",Dec-21,Strata,60,"27,167",99 yrs lease commencing from 2001,01,06 to 10
INTERNATIONAL PLAZA,ANSON ROAD,Office,"1,808,000",968.76,"1,866",Dec-21,Strata,90,"20,089",99 yrs lease commencing from 1970,02,16 to 20
HOA NAM BUILDING,FOCH ROAD,Office,"1,480,000",721.19,"2,052",Dec-21,Strata,67,"22,090",Freehold,08,01 to 05
HIGH STREET CENTRE,NORTH BRIDGE ROAD,Office,"1,127,500",548.96,"2,054",Dec-21,Strata,51,"22,108",99 yrs lease commencing from 1969,06,06 to 10
GOLDEN MILE TOWER,BEACH ROAD,Office,"1,460,000","1,194.8","1,222",Dec-21,Strata,111,"13,153",99 yrs lease commencing from 1969,07,06 to 10
EON SHENTON,SHENTON WAY,Office,"2,700,000","1,033.34","2,613",Dec-21,Strata,96,"28,125",99 yrs lease commencing from 2011,02,16 to 20
KATONG SHOPPING CENTRE,MOUNTBATTEN ROAD,Office,"550,000",172.22,"3,194",Dec-21,Strata,16,"34,375",Freehold,15,B1 to B5
INTERNATIONAL PLAZA,ANSON ROAD,Office,"13,700,000","7,071.95","1,937",Dec-21,Strata,657,"20,852",99 yrs lease commencing from 1970,02,31 to 35
PS100,PECK SEAH STREET,Office,"1,068,000",419.8,"2,544",Dec-21,Strata,39,"27,385",99 yrs lease commencing from 2011,02,06 to 10
THE PLAZA,BEACH ROAD,Office,"700,000",344.45,"2,032",Dec-21,Strata,32,"21,875",99 yrs lease commencing from 1968,07,B1 to B5
GOLDEN MILE TOWER,BEACH ROAD,Office,"1,100,000",914.94,"1,202",Dec-21,Strata,85,"12,941",99 yrs lease commencing from 1969,07,06 to 10
THE PLAZA,BEACH ROAD,Office,"1,860,000","1,302.44","1,428",Dec-21,Strata,121,"15,372",99 yrs lease commencing from 1968,07,16 to 20
INTERNATIONAL PLAZA,ANSON ROAD,Office,"1,880,000",936.47,"2,008",Dec-21,Strata,87,"21,609",99 yrs lease commencing from 1970,02,21 to 25
VISION EXCHANGE,VENTURE DRIVE,Office,"1,010,000",516.67,"1,955",Dec-21,Strata,48,"21,042",99 yrs lease commencing from 2013,22,11 to 15
THE PLAZA,BEACH ROAD,Office,"1,316,188",828.83,"1,588",Dec-21,Strata,77,"17,093",99 yrs lease commencing from 1968,07,06 to 10
CT HUB 2,LAVENDER STREET,Office,"1,051,200",656.6,"1,601",Dec-21,Strata,61,"17,233",63 yrs lease commencing from 2012,12,06 to 10
CT HUB 2,LAVENDER STREET,Office,"1,102,400",688.9,"1,600",Dec-21,Strata,64,"17,225",63 yrs lease commencing from 2012,12,06 to 10
SOHO LIFE,JOO CHIAT ROAD,Office,"563,000",344.45,"1,634",Dec-21,Strata,32,"17,594",Freehold,15,01 to 05
WOODS SQUARE,WOODLANDS SQUARE,Office,"1,121,824",581.26,"1,930",Dec-21,Strata,54,"20,775",99 yrs lease commencing from 2014,25,01 to 05
SOHO LIFE,JOO CHIAT ROAD,Office,"680,000",462.85,"1,469",Dec-21,Strata,43,"15,814",Freehold,15,01 to 05
ROBINSON 112,ROBINSON ROAD,Office,"269,699,625","9,794.16","27,537",Dec-21,Land,909.9,"296,406",Freehold,01,-
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,"925,000",484.38,"1,910",Dec-21,Strata,45,"20,556",99 yrs lease commencing from 2011,14,01 to 05
15 SCOTTS,SCOTTS ROAD,Office,"2,316,113",613.55,"3,775",Dec-21,Strata,57,"40,634",Freehold,09,06 to 10
THE CENTRAL,EU TONG SEN STREET,Office,"3,388,000","1,216.33","2,785",Dec-21,Strata,113,"29,982",99 yrs lease commencing from 2001,01,16 to 20
THE CENTRAL,EU TONG SEN STREET,Office,"1,328,000",635.08,"2,091",Dec-21,Strata,59,"22,508",99 yrs lease commencing from 2001,01,01 to 05
EAST VILLAGE,UPPER CHANGI ROAD,Office,"515,000",150.7,"3,417",Dec-21,Strata,14,"36,786",Freehold,16,01 to 05
THE CENTRAL,EU TONG SEN STREET,Office,"1,408,888",635.08,"2,218",Dec-21,Strata,59,"23,879",99 yrs lease commencing from 2001,01,01 to 05
GRANDLINK SQUARE,GUILLEMARD ROAD,Office,"903,888",484.38,"1,866",Dec-21,Strata,45,"20,086",Freehold,14,01 to 05
FOOK HAI BUILDING,SOUTH BRIDGE ROAD,Office,"1,530,000","1,259.39","1,215",Dec-21,Strata,117,"13,077",99 yrs lease commencing from 1972,01,01 to 05
CENTRAL SQUARE,HAVELOCK ROAD,Office,"315,000,000","67,147.98","4,691",Dec-21,Land,"6,238.2","50,495",99 yrs lease commencing from 1995,01,-
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,"1,038,000",505.91,"2,052",Dec-21,Strata,47,"22,085",99 yrs lease commencing from 2011,14,01 to 05
THE CENTRAL,EU TONG SEN STREET,Office,"1,800,000",645.84,"2,787",Nov-21,Strata,60,"30,000",99 yrs lease commencing from 2001,01,16 to 20
SUNTEC TOWER ONE,TEMASEK BOULEVARD,Office,"4,247,450","1,614.6","2,631",Nov-21,Strata,150,"28,316",99 yrs lease commencing from 1989,01,06 to 10
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,"1,770,160",871.88,"2,030",Nov-21,Strata,81,"21,854",99 yrs lease commencing from 2011,14,01 to 05
VISION EXCHANGE,VENTURE DRIVE,Office,"980,000",516.67,"1,897",Nov-21,Strata,48,"20,417",99 yrs lease commencing from 2013,22,06 to 10
SBF CENTER,ROBINSON ROAD,Office,"2,080,000",667.37,"3,117",Nov-21,Strata,62,"33,548",99 yrs lease commencing from 2011,01,16 to 20
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,"903,000",484.38,"1,864",Nov-21,Strata,45,"20,067",99 yrs lease commencing from 2011,14,06 to 10
THE MODULES,JOO CHIAT ROAD,Office,"750,000",365.98,"2,049",Nov-21,Strata,34,"22,059",Freehold,15,01 to 05
FUYUEN COURT,SIMS AVENUE,Office,"1,630,000",839.59,"1,941",Nov-21,Strata,78,"20,897",Freehold,14,01 to 05
VISION EXCHANGE,VENTURE DRIVE,Office,"2,900,000","1,388.56","2,089",Nov-21,Strata,129,"22,481",99 yrs lease commencing from 2013,22,11 to 15
CHENN LEONN BUILDING,ALIWAL STREET,Office,"2,200,000","1,657.66","1,327",Nov-21,Strata,154,"14,286",Freehold,07,-
MANHATTAN HOUSE,CHIN SWEE ROAD,Office,"820,000",667.37,"1,229",Nov-21,Strata,62,"13,226",99 yrs lease commencing from 1969,03,06 to 10
THE MODULES,JOO CHIAT ROAD,Office,"930,000",538.2,"1,728",Nov-21,Strata,50,"18,600",Freehold,15,01 to 05
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,"1,880,000",958,"1,962",Nov-21,Strata,89,"21,124",99 yrs lease commencing from 2011,14,06 to 10
ONE GEORGE STREET,GEORGE STREET,Office,"1,281,488,125","60,242.88","21,272",Nov-21,Land,"5,596.7","228,972",99 yrs lease commencing from 2003,01,-
PS100,PECK SEAH STREET,Office,"1,030,000",419.8,"2,454",Nov-21,Strata,39,"26,410",99 yrs lease commencing from 2011,02,11 to 15
SUNTEC TOWER THREE,TEMASEK BOULEVARD,Office,"16,000,000","4,833.04","3,311",Nov-21,Strata,449,"35,635",99 yrs lease commencing from 1989,01,36 to 40
ROXY SQUARE,EAST COAST ROAD,Office,"688,000",247.57,"2,779",Nov-21,Strata,23,"29,913",9999 yrs lease commencing from 1980,15,01 to 05
BUKIT TIMAH SHOPPING CENTRE,UPPER BUKIT TIMAH ROAD,Office,"1,720,000","1,248.62","1,378",Nov-21,Strata,116,"14,828",999 yrs lease commencing from 1883,21,16 to 20
THE CENTRAL,EU TONG SEN STREET,Office,"1,450,000",635.08,"2,283",Nov-21,Strata,59,"24,576",99 yrs lease commencing from 2001,01,06 to 10
SHENTON HOUSE,SHENTON WAY,Office,"1,075,200",559.73,"1,921",Nov-21,Strata,52,"20,677",99 yrs lease commencing from 1969,01,11 to 15
CHINATOWN POINT,NEW BRIDGE ROAD,Office,"1,328,000",742.72,"1,788",Nov-21,Strata,69,"19,246",99 yrs lease commencing from 1980,01,11 to 15
CROWN AT ROBINSON,ROBINSON ROAD,Office,"257,500,000","70,676.42","3,643",Nov-21,Strata,"6,566","39,217",Freehold,01,16 to 20
THE PLAZA,BEACH ROAD,Office,"300,000",215.28,"1,394",Nov-21,Strata,20,"15,000",99 yrs lease commencing from 1968,07,01 to 05
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,"1,008,000",548.96,"1,836",Nov-21,Strata,51,"19,765",99 yrs lease commencing from 2011,14,06 to 10
FOOK HAI BUILDING,SOUTH BRIDGE ROAD,Office,"900,000",807.3,"1,115",Oct-21,Strata,75,"12,000",99 yrs lease commencing from 1972,01,06 to 10
SOUTHPOINT,CANTONMENT ROAD,Office,"16,000,000","8,019.18","1,995",Oct-21,Strata,745,"21,477",Freehold,02,06 to 10
WOODS SQUARE,WOODLANDS SQUARE,Office,"1,183,060",559.73,"2,114",Oct-21,Strata,52,"22,751",99 yrs lease commencing from 2014,25,01 to 05
FOOK HAI BUILDING,SOUTH BRIDGE ROAD,Office,"410,000",301.39,"1,360",Oct-21,Strata,28,"14,643",99 yrs lease commencing from 1972,01,01 to 05
WOODS SQUARE,WOODLANDS SQUARE,Office,"1,041,858",559.73,"1,861",Oct-21,Strata,52,"20,036",99 yrs lease commencing from 2014,25,01 to 05
ARC 380,JALAN BESAR,Office,"1,911,500",764.24,"2,501",Oct-21,Strata,71,"26,923",Freehold,08,06 to 10
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,"1,918,120",947.23,"2,025",Oct-21,Strata,88,"21,797",99 yrs lease commencing from 2011,14,01 to 05
GOLDEN MILE COMPLEX,BEACH ROAD,Office,"780,000",419.8,"1,858",Oct-21,Strata,39,"20,000",99 yrs lease commencing from 1969,07,01 to 05
FENG MING BUILDING,JALAN BESAR,Office,"6,700,000","1,111.92","6,026",Oct-21,Land,103.3,"64,860",999 yrs lease commencing from 1919,08,-
THE CENTRAL,EU TONG SEN STREET,Office,"1,530,000",613.55,"2,494",Oct-21,Strata,57,"26,842",99 yrs lease commencing from 2001,01,06 to 10
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,"1,078,888",538.2,"2,005",Oct-21,Strata,50,"21,578",99 yrs lease commencing from 2011,14,01 to 05
WOODS SQUARE,WOODLANDS SQUARE,Office,"1,100,120",559.73,"1,965",Oct-21,Strata,52,"21,156",99 yrs lease commencing from 2014,25,06 to 10
WOODS SQUARE,WOODLANDS SQUARE,Office,"2,529,079","1,259.39","2,008",Oct-21,Strata,117,"21,616",99 yrs lease commencing from 2014,25,06 to 10
SBF CENTER,ROBINSON ROAD,Office,"2,280,000",753.48,"3,026",Oct-21,Strata,70,"32,571",99 yrs lease commencing from 2011,01,16 to 20
SHENTON HOUSE,SHENTON WAY,Office,"1,000,000",559.73,"1,787",Oct-21,Strata,52,"19,231",99 yrs lease commencing from 1969,01,16 to 20
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,"1,076,000",538.2,"1,999",Oct-21,Strata,50,"21,520",99 yrs lease commencing from 2011,14,06 to 10
SOHO LIFE,JOO CHIAT ROAD,Office,"650,000",409.03,"1,589",Oct-21,Strata,38,"17,105",Freehold,15,01 to 05
111 SOMERSET,SOMERSET ROAD,Office,"2,680,000","1,001.05","2,677",Oct-21,Strata,93,"28,817",99 yrs lease commencing from 1975,09,06 to 10
PS100,PECK SEAH STREET,Office,"1,320,000",516.67,"2,555",Oct-21,Strata,48,"27,500",99 yrs lease commencing from 2011,02,06 to 10
HIGH STREET CENTRE,NORTH BRIDGE ROAD,Office,"588,120",376.74,"1,561",Oct-21,Strata,35,"16,803",99 yrs lease commencing from 1969,06,01 to 05
111 SOMERSET,SOMERSET ROAD,Office,"2,709,837","1,022.58","2,650",Oct-21,Strata,95,"28,525",99 yrs lease commencing from 1975,09,06 to 10
WOODS SQUARE,WOODLANDS SQUARE,Office,"1,802,326",947.23,"1,903",Oct-21,Strata,88,"20,481",99 yrs lease commencing from 2014,25,01 to 05
BALESTIER POINT,BALESTIER ROAD,Office,"645,000",333.68,"1,933",Oct-21,Strata,31,"20,806",Freehold,12,01 to 05
SOHO LIFE,JOO CHIAT ROAD,Office,"635,000",398.27,"1,594",Oct-21,Strata,37,"17,162",Freehold,15,01 to 05
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,"1,250,000",635.08,"1,968",Oct-21,Strata,59,"21,186",99 yrs lease commencing from 2011,14,01 to 05
WOODS SQUARE,WOODLANDS SQUARE,Office,"900,000",581.26,"1,548",Oct-21,Strata,54,"16,667",99 yrs lease commencing from 2014,25,01 to 05
THE CENTRAL,EU TONG SEN STREET,Office,"1,628,000",635.08,"2,563",Oct-21,Strata,59,"27,593",99 yrs lease commencing from 2001,01,01 to 05
HIGH STREET PLAZA,HIGH STREET,Office,"5,400,000","2,551.07","2,117",Oct-21,Strata,237,"22,785",999 yrs lease commencing from 1827,06,01 to 05
THE PLAZA,BEACH ROAD,Office,"600,000",430.56,"1,394",Oct-21,Strata,40,"15,000",99 yrs lease commencing from 1968,07,01 to 05
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,"1,900,000",968.76,"1,961",Oct-21,Strata,90,"21,111",99 yrs lease commencing from 2011,14,06 to 10
SOHO LIFE,JOO CHIAT ROAD,Office,"650,000",398.27,"1,632",Oct-21,Strata,37,"17,568",Freehold,15,01 to 05
VISION EXCHANGE,VENTURE DRIVE,Office,"1,550,000",699.66,"2,215",Oct-21,Strata,65,"23,846",99 yrs lease commencing from 2013,22,11 to 15
MILLAGE,CHANGI ROAD,Office,"888,000",172.22,"5,156",Oct-21,Strata,16,"55,500",Freehold,14,01 to 05
THE MEZZO,BALESTIER ROAD,Office,"1,480,000",968.76,"1,528",Oct-21,Strata,90,"16,444",Freehold,12,01 to 05
THE MEZZO,BALESTIER ROAD,Office,"980,000",613.55,"1,597",Oct-21,Strata,57,"17,193",Freehold,12,01 to 05
SBF CENTER,ROBINSON ROAD,Office,"2,560,200",753.48,"3,398",Oct-21,Strata,70,"36,574",99 yrs lease commencing from 2011,01,11 to 15
SBF CENTER,ROBINSON ROAD,Office,"4,501,600","1,323.97","3,400",Oct-21,Strata,123,"36,598",99 yrs lease commencing from 2011,01,11 to 15
SBF CENTER,ROBINSON ROAD,Office,"2,305,200",678.13,"3,399",Oct-21,Strata,63,"36,590",99 yrs lease commencing from 2011,01,11 to 15
SBF CENTER,ROBINSON ROAD,Office,"2,020,000",624.31,"3,236",Oct-21,Strata,58,"34,828",99 yrs lease commencing from 2011,01,21 to 25
GOLDEN MILE COMPLEX,BEACH ROAD,Office,"310,000",204.52,"1,516",Oct-21,Strata,19,"16,316",99 yrs lease commencing from 1969,07,06 to 10
SUNTEC TOWER TWO,TEMASEK BOULEVARD,Office,"10,002,700","4,348.66","2,300",Oct-21,Strata,404,"24,759",99 yrs lease commencing from 1989,01,06 to 10
SUNTEC TOWER TWO,TEMASEK BOULEVARD,Office,"16,166,700","7,028.89","2,300",Oct-21,Strata,653,"24,758",99 yrs lease commencing from 1989,01,06 to 10
SUNTEC TOWER TWO,TEMASEK BOULEVARD,Office,"6,906,900","3,003.16","2,300",Oct-21,Strata,279,"24,756",99 yrs lease commencing from 1989,01,06 to 10
PEK CHUAN BUILDING,LAVENDER STREET,Office,"1,330,000","1,313.21","1,013",Oct-21,Strata,122,"10,902",99 yrs lease commencing from 1978,12,01 to 05
SHENTON HOUSE,SHENTON WAY,Office,"7,398,888","4,746.92","1,559",Oct-21,Strata,441,"16,778",99 yrs lease commencing from 1969,01,21 to 25
HIGHLAND CENTRE,YIO CHU KANG ROAD,Office,"520,000",387.5,"1,342",Oct-21,Strata,36,"14,444",Freehold,19,01 to 05
PLUS,CECIL STREET,Office,"1,360,000",484.38,"2,808",Sep-21,Strata,45,"30,222",99 yrs lease commencing from 1989,01,01 to 05
THE CENTRAL,EU TONG SEN STREET,Office,"5,088,684","1,668.42","3,050",Sep-21,Strata,155,"32,830",99 yrs lease commencing from 2001,01,16 to 20
THE CENTRAL,EU TONG SEN STREET,Office,"2,790,026",871.88,"3,200",Sep-21,Strata,81,"34,445",99 yrs lease commencing from 2001,01,16 to 20
THE MODULES,JOO CHIAT ROAD,Office,"858,000",495.14,"1,733",Sep-21,Strata,46,"18,652",Freehold,15,01 to 05
SOHO LIFE,JOO CHIAT ROAD,Office,"683,000",548.96,"1,244",Sep-21,Strata,51,"13,392",Freehold,15,01 to 05
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,"975,000",505.91,"1,927",Sep-21,Strata,47,"20,745",99 yrs lease commencing from 2011,14,06 to 10
HIGH STREET PLAZA,HIGH STREET,Office,"1,300,000",613.55,"2,119",Sep-21,Strata,57,"22,807",999 yrs lease commencing from 1827,06,01 to 05
15 SCOTTS,SCOTTS ROAD,Office,"2,426,129",656.6,"3,695",Sep-21,Strata,61,"39,773",Freehold,09,06 to 10
15 SCOTTS,SCOTTS ROAD,Office,"20,400,095","5,521.93","3,694",Sep-21,Strata,513,"39,766",Freehold,09,06 to 10
15 SCOTTS,SCOTTS ROAD,Office,"2,305,680",624.31,"3,693",Sep-21,Strata,58,"39,753",Freehold,09,06 to 10
15 SCOTTS,SCOTTS ROAD,Office,"2,268,730",613.55,"3,698",Sep-21,Strata,57,"39,802",Freehold,09,06 to 10
15 SCOTTS,SCOTTS ROAD,Office,"4,533,765","1,227.1","3,695",Sep-21,Strata,114,"39,770",Freehold,09,06 to 10
HOA NAM BUILDING,FOCH ROAD,Office,"1,445,000",721.19,"2,004",Sep-21,Strata,67,"21,567",Freehold,08,01 to 05
PEOPLE'S PARK CENTRE,UPPER CROSS STREET,Office,"1,000,000",602.78,"1,659",Sep-21,Strata,56,"17,857",99 yrs lease commencing from 1970,01,06 to 10
ONE DUSUN RESIDENCES,JALAN DUSUN,Office,"364,486",172.22,"2,116",Sep-21,Strata,16,"22,780",Freehold,12,01 to 05
LIANG SEAH COURT,LIANG SEAH STREET,Office,"2,650,000","1,259.39","2,104",Sep-21,Strata,117,"22,650",999 yrs lease commencing from 1827,07,01 to 05
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,"1,010,000",548.96,"1,840",Sep-21,Strata,51,"19,804",99 yrs lease commencing from 2011,14,01 to 05
CROWN AT ROBINSON,ROBINSON ROAD,Office,"2,030,000",592.02,"3,429",Sep-21,Strata,55,"36,909",Freehold,01,06 to 10
KATONG SHOPPING CENTRE,MOUNTBATTEN ROAD,Office,"800,000",516.67,"1,548",Sep-21,Strata,48,"16,667",Freehold,15,01 to 05
THE SUNFLOWER,GEYLANG ROAD,Office,"710,000",602.78,"1,178",Sep-21,Strata,56,"12,679",Freehold,14,01 to 05
FU LU SHOU COMPLEX,ROCHOR ROAD,Office,"6,880,000","4,305.6","1,598",Sep-21,Strata,400,"17,200",103 yrs lease commencing from 1980,07,01 to 05
THE OCTAGON,CECIL STREET,Office,"15,472,500","6,189.3","2,500",Sep-21,Strata,575,"26,909",Freehold,01,06 to 10
SOHO LIFE,JOO CHIAT ROAD,Office,"635,000",419.8,"1,513",Sep-21,Strata,39,"16,282",Freehold,15,01 to 05
THE PLAZA,BEACH ROAD,Office,"700,000",430.56,"1,626",Sep-21,Strata,40,"17,500",99 yrs lease commencing from 1968,07,11 to 15
SHENTON HOUSE,SHENTON WAY,Office,"1,050,000",559.73,"1,876",Aug-21,Strata,52,"20,192",99 yrs lease commencing from 1969,01,11 to 15
SOUTHBANK,NORTH BRIDGE ROAD,Office,"1,295,000",882.65,"1,467",Aug-21,Strata,82,"15,793",99 yrs lease commencing from 2006,07,06 to 10
PLUS,CECIL STREET,Office,"11,900,000","3,573.65","3,330",Aug-21,Strata,332,"35,843",99 yrs lease commencing from 1989,01,21 to 25
SOHO LIFE,JOO CHIAT ROAD,Office,"653,000",441.32,"1,480",Aug-21,Strata,41,"15,927",Freehold,15,01 to 05
GUTHRIE BUILDING,CHANGI ROAD,Office,"2,980,000","3,035.45",982,Aug-21,Strata,282,"10,567",Freehold,14,01 to 05
PEOPLE'S PARK COMPLEX,PARK ROAD,Office,"850,000",484.38,"1,755",Aug-21,Strata,45,"18,889",99 yrs lease commencing from 1968,01,01 to 05
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,"6,247,900","2,906.28","2,150",Aug-21,Strata,270,"23,140",99 yrs lease commencing from 2011,14,01 to 05
HAVELOCK2,HAVELOCK ROAD,Office,"1,125,000",624.31,"1,802",Aug-21,Strata,58,"19,397",99 yrs lease commencing from 1983,01,06 to 10
THE PROMENADE@PELIKAT,JALAN PELIKAT,Office,"508,000",258.34,"1,966",Aug-21,Strata,24,"21,167",Freehold,19,01 to 05
GIFFARD MANSIONS,BALESTIER ROAD,Office,"428,000",290.63,"1,473",Aug-21,Strata,27,"15,852",Freehold,12,01 to 05
MANHATTAN HOUSE,CHIN SWEE ROAD,Office,"606,375",495.14,"1,225",Aug-21,Strata,46,"13,182",99 yrs lease commencing from 1969,03,01 to 05
GEYLANG CONSERVATION AREA,GEYLANG ROAD,Office,"1,200,000","1,786.82",672,Aug-21,Strata,166,"7,229",Freehold,14,01 to 05
PENINSULA PLAZA,NORTH BRIDGE ROAD,Office,"4,440,000","1,776.06","2,500",Aug-21,Strata,165,"26,909",999 yrs lease commencing from 1829,06,21 to 25
THE CENTRAL,EU TONG SEN STREET,Office,"1,700,000",645.84,"2,632",Aug-21,Strata,60,"28,333",99 yrs lease commencing from 2001,01,21 to 25
GOLDEN MILE TOWER,BEACH ROAD,Office,"450,000",322.92,"1,394",Aug-21,Strata,30,"15,000",99 yrs lease commencing from 1969,07,B1 to B5
GOLDEN MILE COMPLEX,BEACH ROAD,Office,"202,888",129.17,"1,571",Aug-21,Strata,12,"16,907",99 yrs lease commencing from 1969,07,01 to 05
THE GOLDEN LANDMARK,VICTORIA STREET,Office,"450,000",365.98,"1,230",Aug-21,Strata,34,"13,235",99 yrs lease commencing from 1981,07,01 to 05
